pickup	dropoff	passengers	distance	fare	tip	tolls	total	color	payment	pickup_zone	dropoff_zone	pickup_borough	dropoff_borough
3/23/2019 20:21	3/23/2019 20:27	1	1.6	7	2.15	0	12.95	yellow	credit card	Lenox Hill West	UN/Turtle Bay South	Manhattan	Manhattan
3/4/2019 16:11	3/4/2019 16:19	1	0.79	5	0	0	9.3	yellow	cash	Upper West Side South	Upper West Side South	Manhattan	Manhattan
3/27/2019 17:53	3/27/2019 18:00	1	1.37	7.5	2.36	0	14.16	yellow	credit card	Alphabet City	West Village	Manhattan	Manhattan
3/10/2019 1:23	3/10/2019 1:49	1	7.7	27	6.15	0	36.95	yellow	credit card	Hudson Sq	Yorkville West	Manhattan	Manhattan
3/30/2019 13:27	3/30/2019 13:37	3	2.16	9	1.1	0	13.4	yellow	credit card	Midtown East	Yorkville West	Manhattan	Manhattan
3/11/2019 10:37	3/11/2019 10:47	1	0.49	7.5	2.16	0	12.96	yellow	credit card	Times Sq/Theatre District	Midtown East	Manhattan	Manhattan
3/26/2019 21:07	3/26/2019 21:17	1	3.65	13	2	0	18.8	yellow	credit card	Battery Park City	Two Bridges/Seward Park	Manhattan	Manhattan
3/22/2019 12:47	3/22/2019 12:58	0	1.4	8.5	0	0	11.8	yellow		Murray Hill	Flatiron	Manhattan	Manhattan
3/23/2019 11:48	3/23/2019 12:06	1	3.63	15	1	0	19.3	yellow	credit card	East Harlem South	Midtown Center	Manhattan	Manhattan
3/8/2019 16:18	3/8/2019 16:26	1	1.52	8	1	0	13.3	yellow	credit card	Lincoln Square East	Central Park	Manhattan	Manhattan
3/16/2019 10:02	3/16/2019 10:22	1	3.9	17	0	0	17.8	yellow	cash	LaGuardia Airport	Astoria	Queens	Queens
3/20/2019 19:39	3/20/2019 19:45	1	1.53	6.5	2.16	0	12.96	yellow	credit card	Upper West Side South	Manhattan Valley	Manhattan	Manhattan
3/18/2019 21:27	3/18/2019 21:34	1	1.05	6.5	1	0	11.3	yellow	credit card	Murray Hill	Midtown Center	Manhattan	Manhattan
3/19/2019 7:55	3/19/2019 8:09	1	1.75	10.5	0	0	13.8	yellow	cash	Lincoln Square West	Times Sq/Theatre District	Manhattan	Manhattan
3/27/2019 12:13	3/27/2019 12:25	0	2.9	11.5	0	0	14.8	yellow	cash	Financial District North	Two Bridges/Seward Park	Manhattan	Manhattan
